id|timestamp|speaker|text
1|00:00|아내|여보세요? 차 여기 있어요.
2|00:02|남편|어, 지하층 내려왔어요.
3|00:04|아내|어디? 나 안 보이는데?
4|00:06|남편|내려왔는데? GFC 맞잖아.
5|00:09|아내|어.
6|00:11|아내|엘리베이터 타고 내려왔어요? 여기 에스컬레이터 앞에 있는데 나?
7|00:14|남편|에스컬레이터?
8|00:15|아내|어.
9|00:16|남편|엘리베이터 타고 내려왔지?
10|00:18|아내|엘리베이터면 어디 있는 거야?
11|00:20|남편|어허.
12|00:21|아내|주차장 앞에 있어요? 화장실 앞에 있어요?
13|00:24|남편|주차장, 화장실 둘 다 안 보이고요.
14|00:29|아내|음.
15|00:30|아내|뭐가 보여요, 그럼?
16|00:32|남편|여기 I4라 I4가 보이네요. I4. I4 구역.
17|00:38|아내|I4 아 주차장에 가 있어요?
18|00:40|남편|어.
19|00:41|아내|아하.
20|00:43|아내|알았어요.
21|00:44|남편|저기 나오는 게 당신이네.
22|00:47|아내|그러네.
