original|translated
어서 오세요. 차 여기 있어요.|Welcome. The car is here.
어, 지하층 내려왔어요.|Uh, I came down to the basement.
어디? 나 안 보이는데?|where? Can't you see me?
내려왔는데? GFC 맞잖아.|Did you come down? It's GFC, right?
어. 엘리베이터 타고 내려왔어요? 여기 에스컬레이터 앞에 있는데 나?|uh. Did you come down by elevator? I'm here in front of the escalator. Me?
에스컬레이터?|escalator?
어. 엘리베이터 타고 내려왔지?|uh. You came down by elevator, right?
엘리베이터면 어디 있는 거야?|Where is the elevator?
어허.|Uh huh.
주차장 앞에 있어요? 화장실 앞에 있어요?|Is it in front of the parking lot? Is it in front of the bathroom?
화장, 화장실 둘 다 안 보이고요.|Neither the makeup nor the bathroom are visible.
음.|hmm.
뭐가 보여요, 그럼?|What do you see, then?
여기 i4라, i4가 보이네요. i4. i4 구역.|It's i4 here, you can see i4. i4. i4 zone.
i4, 아, 주차장에 가 있어요?|i4, are you in the parking lot?
어.|uh.
아하. 알았어요.|aha. all right.
저기 나오는 게 당신이네.|It's you who comes out there.
그러네.|That's right.
